category,discounted_price,actual_price,discount_percentage,rating,rating_count,venta
2,342,445,58,4.1,363713,1
1,312,42,72,4.2,10576,1
1,312,42,72,4.2,10576,1
1,190,316,45,4.4,35024,1
4,72,121,5,4.1,4716,1
2,546,313,78,4.3,42641,1
4,243,313,45,3.3,8427,1
2,521,313,80,4.1,9340,1
4,298,355,30,4.2,11935,1
4,327,445,61,4.0,15646,1
4,549,184,58,3.4,252,1
1,144,313,61,4.1,21,0
4,260,349,48,3.5,1367,1
1,329,349,36,3.9,8314,1
4,163,265,45,3.7,7945,1
1,450,52,50,4.4,6301,1
4,538,150,54,3.6,550,1
4,532,0,1,4.4,10718,1
6,387,375,25,3.8,20218,1
4,440,22,35,4.1,10308,1
1,376,42,61,4.2,24269,1
1,455,127,64,4.2,24269,1
1,455,127,64,4.2,24269,1
1,520,176,60,4.3,55747,1
1,327,445,61,4.2,13120,1
1,350,42,65,4.2,13120,1
1,420,42,51,4.4,9275,1
2,393,445,45,3.9,92995,1
1,350,11,60,4.2,24269,1
1,350,11,60,4.2,24269,1
1,350,11,60,4.2,24270,1
1,350,11,60,4.2,24269,1
4,86,179,18,4.0,2377,1
4,183,228,21,3.8,195,1
4,453,3,30,4.1,5059,1
7,407,319,0,4.3,5792,1
4,62,127,12,4.4,1558,1
1,429,21,42,4.1,2535,1
1,375,375,29,3.9,17348,1
1,549,74,31,4.3,12093,1
1,549,74,31,4.3,12093,1
2,7,78,25,4.0,3565,1
2,225,380,65,4.4,426973,1
2,225,380,65,4.4,426972,1
2,376,40,61,4.1,91770,1
1,72,240,46,3.6,7689,1
2,393,408,31,3.9,6742,1
1,304,274,16,4.4,8614,1
2,430,54,52,3.8,60026,1
1,127,168,34,4.0,5057,1
4,520,41,24,4.3,6400,1
4,514,25,21,4.2,4184,1
7,367,279,0,4.2,1926,1
1,255,11,73,4.1,1092,1
2,523,291,78,3.8,103052,1
4,319,324,27,3.8,3195,1
1,350,11,60,4.2,24269,1
1,36,172,38,4.4,23169,1
2,400,15,42,4.2,4003,1
2,443,43,40,4.2,4003,1
4,443,7,27,4.4,11499,1
4,240,201,9,4.1,1660,1
1,417,127,70,3.6,6422,1
4,72,127,6,4.1,8873,1
2,500,266,78,4.3,27139,1
2,121,375,79,4.1,16685,1
2,76,314,60,4.2,41226,1
4,379,445,49,4.1,3578,1
4,500,34,28,4.1,2138,1
4,89,232,34,4.1,5873,1
4,19,63,12,3.8,2206,1
1,348,427,51,4.0,3025,1
4,504,429,33,4.4,9734,1
1,417,127,70,4.3,1367,1
1,19,142,39,4.4,24780,1
1,19,142,39,4.4,24780,1
1,135,347,70,4.3,14184,1
2,123,312,69,4.3,14185,1
1,101,313,78,3.5,9638,1
2,21,266,65,4.1,107151,1
4,271,349,46,4.0,1644,1
2,255,63,80,4.5,28978,1
2,127,104,8,4.4,644,1
2,430,54,52,4.1,14560,1
4,471,73,51,4.1,8090,1
4,52,140,21,4.1,6355,1
1,272,445,67,4.3,1552,1
2,350,40,65,4.2,206,1
4,111,163,41,4.4,2288,1
5,243,349,53,4.5,5985,1
4,433,448,31,4.1,3552,1
2,76,172,20,4.1,18678,1
2,76,172,20,4.1,18678,1
2,393,431,39,4.4,2165,1
4,251,243,18,3.9,13127,1
2,445,67,54,4.5,1029,1
2,313,408,54,4.4,10773,1
1,163,313,56,4.3,9998,1
4,29,42,0,4.2,40106,1
4,482,52,42,4.0,4867,1
2,430,62,56,4.1,161679,1
7,113,30,0,4.1,4308,1
1,410,50,58,4.3,30058,1
4,299,4,59,3.9,8095,1
4,36,185,41,4.1,9349,1
4,69,136,13,4.0,14368,1
1,428,385,9,4.4,3219,1
4,510,120,54,3.9,710,1
4,461,62,50,4.0,2198,1
2,127,265,59,3.5,21764,1
1,487,102,53,4.0,13199,1
4,505,87,43,4.2,3195,1
2,315,445,63,3.9,77027,1
1,22,74,15,4.5,16680,1
1,458,63,51,4.3,25903,1
4,76,230,39,3.8,1846,1
4,178,260,37,3.9,11004,1
2,273,26,72,3.5,466,1
1,34,141,32,4.0,7113,1
2,273,349,45,4.0,171,1
4,487,35,34,3.9,31783,1
4,269,313,35,3.9,44994,1
2,452,63,53,4.1,24,0
1,399,388,16,4.4,73005,1
7,244,175,0,4.2,2628,1
2,542,265,73,3.6,1796,1
4,19,131,34,4.0,18543,1
4,477,38,31,4.0,5160,1
4,14,59,9,4.2,1527,1
1,163,408,72,4.1,7333,1
4,85,253,45,3.8,3842,1
2,523,127,50,4.1,30469,1
2,52,204,45,4.1,25262,1
1,190,268,31,4.4,12679,1
2,213,205,23,4.3,9499,1
2,129,112,9,4.1,19252,1
2,261,242,8,4.4,20311,1
2,119,129,23,4.1,19252,1
2,156,192,21,4.3,9499,1
2,327,42,70,4.0,14282,1
2,327,42,70,4.0,14283,1
2,136,138,13,4.0,21350,1
4,523,36,20,3.9,17424,1
2,129,138,18,4.1,19253,1
2,119,129,23,4.1,19252,1
2,142,143,9,4.0,21350,1
2,129,138,18,4.1,19252,1
2,265,269,17,4.3,8399,1
2,213,205,23,4.3,9499,1
2,129,112,9,4.1,19252,1
2,136,137,13,4.0,21350,1
4,471,48,42,3.9,8446,1
4,168,339,58,4.0,5292,1
5,368,445,52,4.0,2581,1
4,455,35,42,3.9,123365,1
4,25,90,18,4.2,2891,1
4,282,315,27,3.8,1393,1
1,49,149,28,4.6,10652,1
2,533,172,60,4.0,36384,1
1,327,63,74,4.3,24791,1
2,70,127,7,4.1,72563,1
1,318,445,63,3.3,9792,1
1,318,445,63,3.3,9792,1
1,523,113,48,4.4,13552,1
1,523,113,48,4.4,13552,1
1,523,113,48,4.4,13552,1
2,190,230,16,4.2,93112,1
4,18,178,48,3.8,1181,1
4,74,164,19,4.2,14160,1
4,437,424,18,4.5,5137,1
4,501,79,43,3.9,18497,1
